,Product Name,site1,PS CODE,MANU CODE,text body,price,In stock?
12,Refrigerator Water Filter,https://www.partselect.com/PS2364646-Frigidaire-ULTRAWF-Refrigerator-Water-Filter.htm?SourceCode=19&SearchTerm=FGHS2631PF4A&ModelNum=FGHS2631PF4A,PS429725,240323002,"Bottom Door Bin   (134) PartSelect #: PS429725 Manufacturer #: 240323002 The Bottom Door Bin is also commonly known as a ""cantilever shelf"" is a clear plastic drawer which holds items in the bottom area of your fridge's interior, on the door. This OEM part is very easy to ... $45.89   In Stock Add to cart",$45.89,No Info
13,Refrigerator Water Filter,https://www.partselect.com/PS2364646-Frigidaire-ULTRAWF-Refrigerator-Water-Filter.htm?SourceCode=19&SearchTerm=FGHS2631PF4A&ModelNum=FGHS2631PF4A,PS2364646,ULTRAWF,"Refrigerator Water Filter PartSelect #: PS2364646 Manufacturer #: ULTRAWF This genuine PureSource Ultra water filter will fit most Frigidaire french door and side by side refrigerators. You will find this filter located in the back, top right of the appliance. It is white i... 23% OFF $64.97 $84.19   In Stock Add to cart",$64.97,No Info
14,Air Filter,https://www.partselect.com/PS1993820-Frigidaire-EAFCBF-Air-Filter.htm?SourceCode=19&SearchTerm=FGHS2631PF4A&ModelNum=FGHS2631PF4A,PS1993820,EAFCBF,"Air Filter   (24) PartSelect #: PS1993820 Manufacturer #: EAFCBF This manufacturer-approved air filter system for refrigerators eliminates odors and any impurities. It does this by neutralizing and removing odor-causing molecules. For best results, it is important ... $23.89   In Stock Add to cart",$23.89,No Info
15,Refrigerator Water Filter,https://www.partselect.com/PS2364646-Frigidaire-ULTRAWF-Refrigerator-Water-Filter.htm?SourceCode=19&SearchTerm=ULTRAWF&ModelNum=ULTRAWF,This part number matches the current model number ULTRAWF,PartSelect #: PS12366457,"WATER FILTER,PS ULTRA SYSTEM This part number matches the current model number ULTRAWF PartSelect #: PS12366457 Manufacturer #: ULTRAWFC   No Longer Available",$64.97,No Info
16,Refrigerator Crisper Drawer with Humidity Control,https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11739119,WP2188656,"Refrigerator Crisper Drawer with Humidity Control   (485) PartSelect #: PS11739119 Manufacturer #: WP2188656 The crisper drawer (Crisper Pan, Refrigerator Crisper Drawer) with humidity control is meant to keep your vegetables and fruit as fresh as possible by allowing you to regulate the humidity levels with... 20% OFF $72.78 $90.98   In Stock Add to cart",$72.78,No Info
17,Refrigerator Door Shelf Bin,https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11752778,WPW10321304,"Refrigerator Door Shelf Bin   (346) PartSelect #: PS11752778 Manufacturer #: WPW10321304 This refrigerator door bin is a genuine OEM replacement designed to fit many side-by-side refrigerator models. Compatible with brands like KitchenAid, Maytag, and Amana, it attaches to the interior do... $36.08   In Stock Add to cart",$72.78,No Info
18,Refrigerator Ice and Water Filter,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11701542,EDR1RXD1,"Refrigerator Ice and Water Filter   (108) PartSelect #: PS11701542 Manufacturer #: EDR1RXD1 The EDR1RXD1 water filter provides clean, fresh-tasting water by reducing contaminants such as lead, chlorine, and particulates. Designed for easy installation, this filter ensures your refrigerator w... 40% OFF $62.38 $103.87   In Stock Add to cart",$62.38,No Info
19,Lower Door Closing Cam,https://www.partselect.com/PS11739042-Whirlpool-WP2182179-Lower-Door-Closing-Cam.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11739042,WP2182179,"Lower Door Closing Cam   (94) PartSelect #: PS11739042 Manufacturer #: WP2182179 The lower door closing cam is used in refrigerator doors, it can be located on the fresh food side or the freezer side. It helps hold the door open. This cam is made out of plastic, so it might crack ... $7.68   In Stock Add to cart",$7.68,No Info
20,Refrigerator Crisper Drawer With Handle,https://www.partselect.com/PS11739122-Whirlpool-WP2188664-Refrigerator-Crisper-Drawer-With-Handle.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11739122,WP2188664,"Refrigerator Crisper Drawer With Handle   (153) PartSelect #: PS11739122 Manufacturer #: WP2188664 This OEM, clear convertible meat drawer can be used to store meats or vegetables and is designed for the lower portion of your refrigerator, generally. It has its own cold air duct to allow cold air f... 13% OFF $53.89 $61.97   In Stock Add to cart",$53.89,No Info
21,Refrigerator Slide-Out Shelf with Glass,https://www.partselect.com/PS11751713-Whirlpool-WPW10276348-Refrigerator-Slide-Out-Shelf-with-Glass.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11751713,WPW10276348,"Refrigerator Slide-Out Shelf with Glass   (61) PartSelect #: PS11751713 Manufacturer #: WPW10276348 This is an OEM glass shelf for a variety of models of refrigerator. This shelf assembly features an approximately 18 inch long and 18-inch-wide white plastic frame and its inner glass pane, and is des... 20% OFF $151.89 $189.86   In Stock Add to cart",$151.89,No Info
22,Ice Bin Auger Drum,https://www.partselect.com/PS372186-Whirlpool-4388736-Ice-Bin-Auger-Drum.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS372186,4388736,Ice Bin Auger Drum   (30) PartSelect #: PS372186 Manufacturer #: 4388736 This white ice bin auger drum comes with a washer. $53.07   In Stock Add to cart,$53.07,No Info
23,Refrigerator Shelf Frame with Glass,https://www.partselect.com/PS11751711-Whirlpool-WPW10276341-Refrigerator-Shelf-Frame-with-Glass.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11751711,WPW10276341,"Refrigerator Shelf Frame with Glass   (42) PartSelect #: PS11751711 Manufacturer #: WPW10276341 This is a glass shelf for models of refrigerator. This part acts as a cover, a shelf, and a set of drawer slides all-in-one. This part includes a white plastic frame that doubles as drawer slides for ... 20% OFF $146.74 $183.43   In Stock Add to cart",$146.74,No Info
24,Ice Bucket,https://www.partselect.com/PS11757044-Whirlpool-WPW10670845-Ice-Bucket.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11757044,WPW10670845,Ice Bucket   (67) PartSelect #: PS11757044 Manufacturer #: WPW10670845 Bucket only. All other parts sold separately. This part holds the ice once it's released from the icemaker. 20% OFF $82.07 $102.59   In Stock Add to cart,$82.07,No Info
25,Refrigerator Shelf Glass,https://www.partselect.com/PS11731733-Whirlpool-W10864399-Refrigerator-Shelf-Glass.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11731733,W10864399,Refrigerator Shelf Glass   (28) PartSelect #: PS11731733 Manufacturer #: W10864399 This is the glass panel only. The frame is sold separately. $122.96   In Stock Add to cart,$122.96,No Info
26,Snack Pan - Clear,https://www.partselect.com/PS11740301-Whirlpool-WP2309517-Snack-Pan-Clear.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11740301,WP2309517,Snack Pan - Clear   (26) PartSelect #: PS11740301 Manufacturer #: WP2309517 The snack pan in your refrigerator stores food and other items that you intend to keep cold. It is the top drawer in the refrigerator and is also the smallest of the three drawers in this model. It is... 20% OFF $77.89 $97.36   In Stock Add to cart,$77.89,No Info
27,Screw,https://www.partselect.com/PS11757021-Whirlpool-WPW10661886-Screw.htm?SourceCode=19&SearchTerm=WRS325FDAM04&ModelNum=WRS325FDAM04,PS11757021,WPW10661886,"Screw   (3) PartSelect #: PS11757021 Manufacturer #: WPW10661886 This mounting screw is a genuine OEM replacement part for the door handle in your refrigerator. If you are having trouble shutting the refrigerator door, or opening it, replacing this screw can help s... $12.67   In Stock Add to cart",$12.67,No Info
28,Bi-Metal Defrost Thermostat,https://www.partselect.com/PS11750673-Whirlpool-WPW10225581-Bi-Metal-Defrost-Thermostat.htm?SourceCode=19&SearchTerm=WRS325FDAM02&ModelNum=WRS325FDAM02,PS11750673,WPW10225581,"Bi-Metal Defrost Thermostat   (29) PartSelect #: PS11750673 Manufacturer #: WPW10225581 If you have ice building up in your freezer, or if your freezer is getting too warm during the defrost cycle you may need to replace the bi-metal defrost thermostat. The function of the defrost bi-met... $30.89   In Stock Add to cart",$30.89,No Info
29,Crisper Cover with Glass,https://www.partselect.com/PS4082908-Whirlpool-W10508993-Crisper-Cover-with-Glass.htm?SourceCode=19&SearchTerm=WRS325FDAM02&ModelNum=WRS325FDAM02,PS4082908,W10508993,Crisper Cover with Glass   (23) PartSelect #: PS4082908 Manufacturer #: W10508993 This part is also known as a shelf frame. This drawer cover is for refrigerators. Drawer cover has rail brackets under the cover that hold the drawer and allow the drawer to slide in and out on th... $137.69   In Stock Add to cart,$137.69,No Info
30,Light Bulb,https://www.partselect.com/PS12751166-Frigidaire-316538904-Light-Bulb.htm?SourceCode=19&SearchTerm=FGHC2331PFAA&ModelNum=FGHC2331PFAA,PS12751166,316538904,"Light Bulb   (12) PartSelect #: PS12751166 Manufacturer #: 316538904 This OEM 40 watt appliance light bulb is used for some ranges, refrigerators, freezers, and microwaves. Simply locate the existing bulb, unscrew it from its socket, and replace with new light bulb. If... $19.65   In Stock Add to cart",$19.65,No Info
31,Meat Pan Cover Frame - Glass NOT Included,https://www.partselect.com/PS2378645-Frigidaire-240599803-Meat-Pan-Cover-Frame-Glass-NOT-Included.htm?SourceCode=19&SearchTerm=FGHC2331PFAA&ModelNum=FGHC2331PFAA,PS2378645,240599803,"Meat Pan Cover Frame - Glass NOT Included   (36) PartSelect #: PS2378645 Manufacturer #: 240599803 This genuine OEM part is the white plastic frame for the meat pan in your refrigerator. The frame measures approximately 17-inches by 16-inches, and is used to support the drawer, or meat pan. The fra... 20% OFF $66.62 $83.28   In Stock Add to cart",$66.62,No Info
